"SCHD","FITNESS","TOT_CRSE_REGS","MODELS_BULIT"
"SCHD_1",1775.1,7888,832
"SCHD_1",1775.1,7888,840
"SCHD_1",1775.1,7888,830
"SCHD_1",1775.1,7888,848
"SCHD_M_414",1774.15,7888,827
"SCHD_C_201",1772.15,7888,850
"SCHD_C_321",1772.1,7888,980
"SCHD_1",1772.1,7888,911
"SCHD_1",1772.1,7888,824
"SCHD_1",1772.1,7888,822
"SCHD_1",1772.1,7888,811
"SCHD_1",1772.1,7888,828
"SCHD_1",1772.1,7888,826
"SCHD_C_414",1771.26666666667,7888,850
"SCHD_M_3",1770.65,7888,973
"SCHD_C_226",1770.56666666667,7888,1037
"SCHD_C_904",1770.45,7888,963
"SCHD_C_2646",1769.19166666667,7888,982
"SCHD_C_2203",1768.9,7888,915
"SCHD_C_880",1767.61666666667,7888,1121
"SCHD_1",1767.61666666667,7888,906
"SCHD_1",1767.61666666667,7888,881
"SCHD_C_7",1767.36666666667,7888,940
"SCHD_1",1767.36666666667,7888,850
"SCHD_1",1767.36666666667,7888,792
"SCHD_1",1767.36666666667,7888,809
"SCHD_1",1767.36666666667,7888,799
"SCHD_1",1767.36666666667,7888,804
"SCHD_1",1767.36666666667,7888,812
"SCHD_1",1767.36666666667,7888,812
"SCHD_1",1767.36666666667,7888,803
"SCHD_1",1767.36666666667,7888,806
"SCHD_1",1767.36666666667,7888,834
"SCHD_C_4349",1767.03333333333,7888,822
"SCHD_1",1767.03333333333,7888,812
"SCHD_1",1767.03333333333,7888,803
"SCHD_1",1767.03333333333,7888,854
"SCHD_1",1767.03333333333,7888,842
"SCHD_1",1767.03333333333,7888,842
"SCHD_1",1767.03333333333,7888,853
"SCHD_1",1767.03333333333,7888,888
"SCHD_1",1767.03333333333,7888,918
"SCHD_C_6607",1766.825,7888,956
"SCHD_C_2001",1766.65833333333,7888,943
"SCHD_M_193",1764.70833333333,7888,913
"SCHD_C_6524",1764.04166666667,7888,912
"SCHD_C_417",1764,7888,939
"SCHD_C_638",1763.75,7888,894
"SCHD_1",1763.75,7888,808
"SCHD_1",1763.75,7888,768
"SCHD_1",1763.75,7888,795
"SCHD_1",1763.75,7888,799
"SCHD_1",1763.75,7888,828
"SCHD_1",1763.75,7888,888
"SCHD_1",1763.75,7888,833
"SCHD_1",1763.75,7888,828
